Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
mandril.pgm,512,512,0.5,50,80,31.223392,1.431584,21.81
mandril.pgm,512,512,0.5,50,100,30.993216,1.441408,21.50
mandril.pgm,512,512,0.5,50,120,30.160736,1.426144,21.14
mandril.pgm,512,512,0.5,70,80,30.878208,1.443392,21.39
mandril.pgm,512,512,0.5,70,100,31.092319,1.456256,21.35
mandril.pgm,512,512,0.5,70,120,29.780672,1.423712,20.91
mandril.pgm,512,512,1.0,30,80,30.319521,1.432864,21.16
mandril.pgm,512,512,1.0,30,100,29.875423,1.425280,20.96
mandril.pgm,512,512,1.0,30,120,29.754272,1.439872,20.66
mandril.pgm,512,512,1.0,50,80,29.973503,1.415552,21.17
mandril.pgm,512,512,1.0,50,100,30.101664,1.422816,21.15
mandril.pgm,512,512,1.0,50,120,31.262432,1.456192,21.46
mandril.pgm,512,512,1.0,70,80,31.233185,1.434528,21.77
mandril.pgm,512,512,1.0,70,100,37.603264,1.464992,25.66
mandril.pgm,512,512,1.0,70,120,31.042561,1.450080,21.40
mandril.pgm,512,512,1.5,30,80,31.111135,1.429760,21.75
mandril.pgm,512,512,1.5,30,100,31.312799,1.464672,21.37
mandril.pgm,512,512,1.5,30,120,31.095072,1.418656,21.91
mandril.pgm,512,512,1.5,50,80,31.022400,1.431136,21.67
mandril.pgm,512,512,1.5,50,100,30.094015,1.444704,20.83
mandril.pgm,512,512,1.5,50,120,40.084801,1.509056,26.56
mandril.pgm,512,512,1.5,70,80,30.962273,1.426848,21.69
mandril.pgm,512,512,1.5,70,100,30.530945,1.447904,21.08
mandril.pgm,512,512,1.5,70,120,31.187679,1.431520,21.78
mandril.pgm,512,512,2.0,30,80,30.900255,1.420608,21.75
mandril.pgm,512,512,2.0,30,100,29.764256,1.432672,20.77
mandril.pgm,512,512,2.0,30,120,29.690657,1.440832,20.60
mandril.pgm,512,512,2.0,50,80,30.783873,1.412896,21.78
mandril.pgm,512,512,2.0,50,100,30.958273,1.468224,21.08
mandril.pgm,512,512,2.0,50,120,29.968992,1.416800,21.15
mandril.pgm,512,512,2.0,70,80,33.039776,1.431552,23.07
mandril.pgm,512,512,2.0,70,100,36.122463,1.427264,25.30
mandril.pgm,512,512,2.0,70,120,34.393089,1.473120,23.34
mandril.pgm,512,512,2.5,30,80,29.910561,1.436544,20.82
mandril.pgm,512,512,2.5,30,100,36.013088,1.443104,24.95
mandril.pgm,512,512,2.5,30,120,30.020479,1.422720,21.10
mandril.pgm,512,512,2.5,50,80,30.355295,1.439136,21.09
mandril.pgm,512,512,2.5,50,100,29.922527,1.451136,20.62
mandril.pgm,512,512,2.5,50,120,31.071840,1.459168,21.29
mandril.pgm,512,512,2.5,70,80,30.867647,1.424992,21.66
mandril.pgm,512,512,2.5,70,100,29.648191,1.424256,20.81
