Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
lake.pgm,512,512,1.5,70,100,36.325600,1.455200,24.96
lake.pgm,512,512,1.5,70,120,29.819424,1.412448,21.11
lake.pgm,512,512,2.0,30,80,29.982592,1.426528,21.01
lake.pgm,512,512,2.0,30,100,29.567871,1.434880,20.60
lake.pgm,512,512,2.0,30,120,38.668415,1.449024,26.68
lake.pgm,512,512,2.0,50,80,31.184929,1.456832,21.40
lake.pgm,512,512,2.0,50,100,31.125889,1.436992,21.66
lake.pgm,512,512,2.0,50,120,30.997728,1.452960,21.33
lake.pgm,512,512,2.0,70,80,29.952703,1.434016,20.88
lake.pgm,512,512,2.0,70,100,34.966686,1.461280,23.92
lake.pgm,512,512,2.0,70,120,29.830336,1.424544,20.94
lake.pgm,512,512,2.5,30,80,29.816736,1.427552,20.88
lake.pgm,512,512,2.5,30,100,36.626369,1.444320,25.35
lake.pgm,512,512,2.5,30,120,31.181824,1.451872,21.47
lake.pgm,512,512,2.5,50,80,31.140415,1.438336,21.65
lake.pgm,512,512,2.5,50,100,30.996223,1.462336,21.19
lake.pgm,512,512,2.5,50,120,30.757601,1.447296,21.25
lake.pgm,512,512,2.5,70,80,30.172159,1.430336,21.09
lake.pgm,512,512,2.5,70,100,30.929152,1.443360,21.42
lake.pgm,512,512,2.5,70,120,31.138752,1.442720,21.58
livingroom.pgm,512,512,0.5,30,80,30.981249,1.453760,21.31
livingroom.pgm,512,512,0.5,30,100,30.963776,1.454784,21.28
livingroom.pgm,512,512,0.5,30,120,30.862112,1.429024,21.59
livingroom.pgm,512,512,0.5,50,80,30.928576,1.443040,21.43
livingroom.pgm,512,512,0.5,50,100,30.974367,1.445728,21.42
livingroom.pgm,512,512,0.5,50,120,29.797312,1.435616,20.75
livingroom.pgm,512,512,0.5,70,80,31.052929,1.448192,21.44
livingroom.pgm,512,512,0.5,70,100,29.973440,1.423840,21.05
livingroom.pgm,512,512,0.5,70,120,29.809889,1.438784,20.71
livingroom.pgm,512,512,1.0,30,80,30.871136,1.439584,21.44
