Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
mandril.pgm,512,512,2.0,50,80,30.048512,1.423680,21.10
mandril.pgm,512,512,2.0,50,100,29.970144,1.445536,20.73
mandril.pgm,512,512,2.0,50,120,31.149759,1.426816,21.83
mandril.pgm,512,512,2.0,70,80,29.993343,1.412768,21.23
mandril.pgm,512,512,2.0,70,100,29.954687,1.415744,21.15
mandril.pgm,512,512,2.0,70,120,31.013216,1.451616,21.36
mandril.pgm,512,512,2.5,30,80,29.743328,1.413792,21.03
mandril.pgm,512,512,2.5,30,100,30.992161,1.443904,21.46
mandril.pgm,512,512,2.5,30,120,30.888927,1.458816,21.17
mandril.pgm,512,512,2.5,50,80,29.735071,1.417536,20.97
mandril.pgm,512,512,2.5,50,100,30.953377,1.440544,21.48
mandril.pgm,512,512,2.5,50,120,30.947905,1.455616,21.26
mandril.pgm,512,512,2.5,70,80,29.624416,1.417408,20.90
mandril.pgm,512,512,2.5,70,100,36.920895,1.460192,25.28
mandril.pgm,512,512,2.5,70,120,36.245056,1.475136,24.57
peppers_gray.pgm,512,512,0.5,30,80,31.189632,1.455456,21.42
peppers_gray.pgm,512,512,0.5,30,100,29.667809,1.442720,20.56
peppers_gray.pgm,512,512,0.5,30,120,30.919424,1.442880,21.42
peppers_gray.pgm,512,512,0.5,50,80,29.536896,1.428736,20.67
peppers_gray.pgm,512,512,0.5,50,100,31.003872,1.433504,21.62
peppers_gray.pgm,512,512,0.5,50,120,30.149632,1.430464,21.07
peppers_gray.pgm,512,512,0.5,70,80,30.930431,1.451360,21.31
peppers_gray.pgm,512,512,0.5,70,100,29.516928,1.424544,20.72
peppers_gray.pgm,512,512,0.5,70,120,29.864033,1.424544,20.96
peppers_gray.pgm,512,512,1.0,30,80,30.172895,1.431392,21.07
peppers_gray.pgm,512,512,1.0,30,100,36.826401,1.562400,23.57
peppers_gray.pgm,512,512,1.0,30,120,30.069824,1.435040,20.95
peppers_gray.pgm,512,512,1.0,50,80,29.806368,1.442944,20.65
peppers_gray.pgm,512,512,1.0,50,100,30.161407,1.428608,21.11
peppers_gray.pgm,512,512,1.0,50,120,29.650335,1.404800,21.10
peppers_gray.pgm,512,512,1.0,70,80,31.331713,1.463168,21.41
peppers_gray.pgm,512,512,1.0,70,100,30.029184,1.443680,20.80
peppers_gray.pgm,512,512,1.0,70,120,31.174623,1.427008,21.84
peppers_gray.pgm,512,512,1.5,30,80,30.190241,1.426272,21.16
peppers_gray.pgm,512,512,1.5,30,100,32.069534,1.514624,21.17
peppers_gray.pgm,512,512,1.5,30,120,36.700703,1.425504,25.74
peppers_gray.pgm,512,512,1.5,50,80,31.271168,1.442976,21.67
peppers_gray.pgm,512,512,1.5,50,100,30.264032,1.429824,21.16
peppers_gray.pgm,512,512,1.5,50,120,36.480766,1.429760,25.51
peppers_gray.pgm,512,512,1.5,70,80,30.824991,1.486240,20.74
peppers_gray.pgm,512,512,1.5,70,100,30.156576,1.441120,20.92
peppers_gray.pgm,512,512,1.5,70,120,29.793247,1.431328,20.81
peppers_gray.pgm,512,512,2.0,30,80,31.348608,1.436064,21.82
peppers_gray.pgm,512,512,2.0,30,100,29.813280,1.424160,20.93
peppers_gray.pgm,512,512,2.0,30,120,31.192385,1.433440,21.76
peppers_gray.pgm,512,512,2.0,50,80,30.763712,1.439104,21.37
peppers_gray.pgm,512,512,2.0,50,100,30.973696,1.434976,21.58
peppers_gray.pgm,512,512,2.0,50,120,29.904064,1.416032,21.11
peppers_gray.pgm,512,512,2.0,70,80,29.723969,1.447648,20.53
peppers_gray.pgm,512,512,2.0,70,100,29.720800,1.433952,20.72
peppers_gray.pgm,512,512,2.0,70,120,36.787521,1.492832,24.64
peppers_gray.pgm,512,512,2.5,30,80,30.735680,1.423040,21.59
peppers_gray.pgm,512,512,2.5,30,100,30.788448,1.456960,21.13
peppers_gray.pgm,512,512,2.5,30,120,29.625441,1.453568,20.38
peppers_gray.pgm,512,512,2.5,50,80,37.661152,1.438080,26.18
peppers_gray.pgm,512,512,2.5,50,100,31.323105,1.439968,21.75
peppers_gray.pgm,512,512,2.5,50,120,30.798080,1.466048,21.00
peppers_gray.pgm,512,512,2.5,70,80,30.822271,1.443264,21.35
peppers_gray.pgm,512,512,2.5,70,100,33.124126,1.430752,23.15
peppers_gray.pgm,512,512,2.5,70,120,29.976641,1.423264,21.06
pirate.pgm,512,512,0.5,30,80,37.108734,1.448736,25.61
pirate.pgm,512,512,0.5,30,100,29.992319,1.415360,21.19
pirate.pgm,512,512,0.5,30,120,29.912416,1.406016,21.27
pirate.pgm,512,512,0.5,50,80,29.853409,1.427616,20.91
pirate.pgm,512,512,0.5,50,100,29.974367,1.422848,21.06
pirate.pgm,512,512,0.5,50,120,31.086271,1.423968,21.83
pirate.pgm,512,512,0.5,70,80,30.872448,1.427008,21.63
pirate.pgm,512,512,0.5,70,100,29.859392,1.439872,20.73
pirate.pgm,512,512,0.5,70,120,29.834272,1.405760,21.22
pirate.pgm,512,512,1.0,30,80,31.231968,1.440288,21.68
pirate.pgm,512,512,1.0,30,100,29.871616,1.418304,21.06
pirate.pgm,512,512,1.0,30,120,30.929695,1.460576,21.17
pirate.pgm,512,512,1.0,50,80,38.509186,1.440896,26.72
pirate.pgm,512,512,1.0,50,100,30.892799,1.426976,21.64
pirate.pgm,512,512,1.0,50,120,32.502274,1.475360,22.03
pirate.pgm,512,512,1.0,70,80,37.140350,1.432032,25.93
pirate.pgm,512,512,1.0,70,100,29.687584,1.427776,20.79
pirate.pgm,512,512,1.0,70,120,,,
pirate.pgm,512,512,1.5,30,80,,,
pirate.pgm,512,512,1.5,30,100,,,
pirate.pgm,512,512,1.5,30,120,,,
pirate.pgm,512,512,1.5,50,80,38.121216,1.444704,26.38
pirate.pgm,512,512,1.5,50,100,37.894718,1.432352,26.45
pirate.pgm,512,512,1.5,50,120,29.561024,1.426528,20.72
pirate.pgm,512,512,1.5,70,80,36.819519,1.469504,25.05
pirate.pgm,512,512,1.5,70,100,29.882240,1.436832,20.79
pirate.pgm,512,512,1.5,70,120,37.087872,1.435744,25.83
pirate.pgm,512,512,2.0,30,80,29.956192,1.438304,20.82
pirate.pgm,512,512,2.0,30,100,37.841728,1.444096,26.20
pirate.pgm,512,512,2.0,30,120,30.858912,1.449248,21.29
pirate.pgm,512,512,2.0,50,80,29.853088,1.444800,20.66
pirate.pgm,512,512,2.0,50,100,30.935265,1.416128,21.84
pirate.pgm,512,512,2.0,50,120,30.011841,1.447744,20.73
pirate.pgm,512,512,2.0,70,80,30.025633,1.428928,21.01
pirate.pgm,512,512,2.0,70,100,31.122944,1.452832,21.42
pirate.pgm,512,512,2.0,70,120,36.482880,1.437024,25.38
pirate.pgm,512,512,2.5,30,80,31.253376,1.458848,21.42
pirate.pgm,512,512,2.5,30,100,30.003679,1.453984,20.63
pirate.pgm,512,512,2.5,30,120,31.045601,1.438240,21.58
pirate.pgm,512,512,2.5,50,80,29.707647,1.431008,20.75
pirate.pgm,512,512,2.5,50,100,36.904350,1.436960,25.68
pirate.pgm,512,512,2.5,50,120,31.040480,1.405728,22.08
pirate.pgm,512,512,2.5,70,80,36.549664,1.458304,25.06
pirate.pgm,512,512,2.5,70,100,31.074144,1.451648,21.40
pirate.pgm,512,512,2.5,70,120,31.104897,1.453856,21.39
walkbridge.pgm,512,512,0.5,30,80,,,
walkbridge.pgm,512,512,0.5,30,100,,,
walkbridge.pgm,512,512,0.5,30,120,30.980385,1.418816,21.83
walkbridge.pgm,512,512,0.5,50,80,31.018944,1.422976,21.79
walkbridge.pgm,512,512,0.5,50,100,31.028095,1.441312,21.52
walkbridge.pgm,512,512,0.5,50,120,30.110464,1.438944,20.92
walkbridge.pgm,512,512,0.5,70,80,31.174433,1.435680,21.71
walkbridge.pgm,512,512,0.5,70,100,30.071169,1.459136,20.60
walkbridge.pgm,512,512,0.5,70,120,30.752129,1.423456,21.60
walkbridge.pgm,512,512,1.0,30,80,31.008575,1.430368,21.67
walkbridge.pgm,512,512,1.0,30,100,36.631969,1.433376,25.55
walkbridge.pgm,512,512,1.0,30,120,31.118208,1.419296,21.92
walkbridge.pgm,512,512,1.0,50,80,29.993280,1.426112,21.03
walkbridge.pgm,512,512,1.0,50,100,30.675360,1.454272,21.09
walkbridge.pgm,512,512,1.0,50,120,36.339775,1.459776,24.89
walkbridge.pgm,512,512,1.0,70,80,30.971489,1.441024,21.49
walkbridge.pgm,512,512,1.0,70,100,30.928160,1.437120,21.52
walkbridge.pgm,512,512,1.0,70,120,29.698944,1.436384,20.67
walkbridge.pgm,512,512,1.5,30,80,36.497696,1.526784,23.90
walkbridge.pgm,512,512,1.5,30,100,31.398848,1.452608,21.61
walkbridge.pgm,512,512,1.5,30,120,31.001984,1.442784,21.48
walkbridge.pgm,512,512,1.5,50,80,31.199615,1.473056,21.18
walkbridge.pgm,512,512,1.5,50,100,37.016705,1.441376,25.68
walkbridge.pgm,512,512,1.5,50,120,30.024448,1.408384,21.31
walkbridge.pgm,512,512,1.5,70,80,29.903072,1.449472,20.63
walkbridge.pgm,512,512,1.5,70,100,34.816864,1.484608,23.45
walkbridge.pgm,512,512,1.5,70,120,30.933792,1.433312,21.58
walkbridge.pgm,512,512,2.0,30,80,29.923777,1.423424,21.02
walkbridge.pgm,512,512,2.0,30,100,30.872416,1.441344,21.41
